_rank,img,psnr,ssim,_score,mode,lpips,enl,epi
1,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823141123_20190823141407_tile_3121_VV_0_1_0_1.png,24.38533624861613,0.820830165683249,2.760413544035015,DDPM,0.1689427196979522,119.56417374393595,1.1554043422052818
2,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823141123_20190823141407_tile_3131_VV_0_1_0_1.png,22.588245457836692,0.6984979919927611,2.103358135726502,DDPM,0.2882140576839447,69.34995426766679,0.4306277652829468
3,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804113009_20190804113242_tile_4799_VV_0_0_1_1.png,22.59610923636544,0.5253423526698627,1.543203036461788,DDPM,0.4510493576526642,35.380435948233924,0.4128572243763206
4,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804115211_20190804115445_tile_8039_VV_1_0_1_0.png,22.85090393308781,0.5102699268027066,1.5312800722181512,DDPM,0.4033988118171692,39.70843702282196,0.4330222950814211
5,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804141038_20190804141312_tile_9059_HH_0_1_0_0.png,26.125371164989595,0.356565407612702,1.5077067459133877,DDPM,0.1112094447016716,0.2499093399824527,0.6558558265595411
6,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804113009_20190804113242_tile_4799_HH_0_0_1_1.png,22.787542797267044,0.5049964972606827,1.5050010279756258,DDPM,0.4348093867301941,46.482575179510576,0.3514118384818611
7,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822163834_20190822164115_tile_7699_HH_1_0_1_1.png,22.368686542735013,0.5203847144244705,1.4941651412200776,DDPM,0.4437587857246399,26.436769674536745,0.3867064265641143
8,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804113009_20190804113242_tile_4799_HH_0_1_1_0.png,22.70133208802061,0.5036332193445191,1.488084695025419,DDPM,0.4341108798980713,43.23297938158761,0.3664636093784773
9,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822161837_20190822162134_tile_1599_HH_0_0_0_1.png,25.87616246469601,0.361486941593674,1.487534698207606,DDPM,0.1091189980506897,0.2288733225884761,0.5862155743967683
10,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804142149_20190804142420_tile_9117_VV_1_0_0_0.png,22.593188923194,0.5079326024451036,1.4863448904548244,DDPM,0.3958838582038879,25.73223036606929,0.3902526233396625
11,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804113009_20190804113242_tile_4799_HH_1_1_0_0.png,22.683495540109607,0.5016865413164238,1.4791888123711339,DDPM,0.4334869682788849,45.57179406213103,0.3585349989930888
12,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822145832_20190822150114_tile_9595_VV_1_0_1_0.png,22.26539473860598,0.5179919303003544,1.4714355076587733,DDPM,0.4701661467552185,31.01899725167328,0.404445279141392
13,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804132547_20190804132826_tile_10867_VV_1_1_0_0.png,22.754582815887865,0.4945385058099898,1.4663228741617602,DDPM,0.3801681101322174,69.5907236864104,0.3720220609575624
14,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804130928_20190804131204_tile_5128_HH_0_1_0_1.png,22.302951915230302,0.5129090548940262,1.460403364673511,DDPM,0.5508514642715454,24.751977480161077,0.3548483940495077
15,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822163834_20190822164115_tile_7699_VV_1_0_1_1.png,22.168189379476285,0.5186560049147314,1.4594971729563182,DDPM,0.4815669059753418,23.33324697902665,0.3900731408697518
16,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804145216_20190804145445_tile_6513_HH_1_1_0_1.png,22.782214809179308,0.4897763100230874,1.4548914712392809,DDPM,0.4167218506336212,55.45221101765412,0.3796441824634477
17,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822071924_20190822072224_tile_8642_HH_0_0_1_1.png,22.41727509811981,0.502823971342509,1.4442843134145136,DDPM,0.4571354389190674,38.15285880220509,0.3852542532313009
18,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823084056_20190823084400_tile_3441_VV_1_0_1_0.png,22.242502468067645,0.5070353438602944,1.4326005506861312,DDPM,0.4592568576335907,30.362405575674902,0.3945142557986762
19,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804120805_20190804121023_tile_6215_VV_1_0_1_0.png,22.671647011528428,0.4874447406324608,1.4313055346775636,DDPM,0.4169592261314392,64.4371639951598,0.4044037425607678
20,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822083256_20190822083600_tile_10920_HH_0_1_0_1.png,21.466238474127927,0.5405113842033112,1.4285873532452276,DDPM,0.5354926586151123,20.95656698262715,0.3937707229756511
21,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822071924_20190822072224_tile_8642_HH_0_1_1_0.png,22.36498228090198,0.4997710378937801,1.426807622023969,DDPM,0.4604851603507995,38.213165392422816,0.3908612186248523
22,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190822071924_20190822072224_tile_8630_VV_0_1_0_1.png,21.90602464355443,0.519286597613783,1.4235376472457189,DDPM,0.5084778070449829,24.936942898232317,0.3531428192498704
23,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804142149_20190804142420_tile_9117_VV_1_1_0_0.png,21.88455279063028,0.5185049210564493,1.4178912140691031,DDPM,0.4047769904136657,44.639912333574266,0.3818581043700058
24,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804115211_20190804115445_tile_8039_HH_1_0_1_1.png,22.914921041203176,0.4721076147617905,1.4168544824131817,DDPM,0.4396373629570007,56.71886845722657,0.3562030490138659
25,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804135937_20190804140208_tile_6567_VV_0_0_0_1.png,24.65743346504,0.3936217592144329,1.415033723038047,DDPM,0.1574737727642059,0.3495408796023985,0.5448285417893263
26,SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190823080717_20190823081024_tile_3069_HH_0_0_0_1.png,25.13805309062724,0.3720091569503127,1.4146461417569522,DDPM,0.1199307665228843,0.2235676496919928,0.516814781484004
